Micronesia,4105
Polynesia,11312
Afghanistan,345
Albania,6655
Algeria,4274
Andorra,42293
Angola,3184
Anguilla,28561
Antigua and Barbuda,18880
Argentina,13868
Armenia,7018
Aruba,33301
Australia,67867
Austria,52609
Azerbaijan,7600
Bahamas,31458
Bahrain,30147
Bangladesh,2528
Barbados,20239
Belarus,7643
Belgium,49987
Belize,6984
Benin,1303
Bermuda,117568
Bhutan,3704
Bolivia,3600
Bosnia and Herzegovina,7569
Botswana,7738
Brazil,8918
British Virgin Islands,46997
Brunei,37152
Bulgaria,13302
Burkina Faso,846
Burundi,313
Cabo Verde,3903
Cambodia,1760
Cameroon,1588
Canada,55597
Cayman Islands,91420
Central African Republic,429
Chad,948
Chile,15338
China,12598
Colombia,6630
Comoros,1490
Congo,2570
Cook Islands,17033
Costa Rica,13199
Côte d’Ivoire,2486
Croatia,17753
Cuba,13128
Curaçao,16087
Cyprus,32999
Czechia,27685
North Korea,590
DR Congo,632
Denmark,68029
Djibouti,3572
Dominica,8415
Dominican Republic,10111
Ecuador,6391
Egypt,3688
El Salvador,5127
Equatorial Guinea,7026
Eritrea,647
Estonia,28693
Eswatini,3601
Ethiopia,964
Fiji,5356
Finland,50988
France,41426
French Polynesia,18985
Gabon,8427
Gambia,825
Georgia,6571
Germany,48902
Ghana,2204
Greece,20923
Greenland,51821
Grenada,9509
Guatemala,5324
Guinea,1504
Guinea-Bissau,748
Guyana,18199
Haiti,1619
Honduras,3040
Hungary,17792
Iceland,75260
India,2445
Indonesia,4788
Iran,4495
Iraq,5937
Ireland,105993
Israel,58086
Italy,34672
Jamaica,6047
Japan,34144
Jordan,4205
Kazakhstan,11625
Kenya,2099
Kiribati,1704
Kosovo,5662
Kuwait,41079
Kyrgyzstan,1649
Laos,2040
Latvia,22088
Lebanon,7159
Lesotho,992
Liberia,616
Libya,5951
Liechtenstein,197268
Lithuania,25773
Luxembourg,125897
Madagascar,505
Malawi,615
Malaysia,11972
Maldives,11781
Mali,833
Malta,33942
Marshall Islands,6728
Mauritania,2322
Mauritius,9926
Mexico,11477
Micronesia,3741
Monaco,240535
Mongolia,5046
Montenegro,9935
Montserrat,16461
Morocco,3495
Mozambique,558
Myanmar,1204
Namibia,4911
Nauru,11679
Nepal,1290
Netherlands,57392
New Caledonia,33190
New Zealand,47412
Nicaragua,2255
Niger,588
Nigeria,2174
North Macedonia,6549
Norway,106623
Oman,25057
Pakistan,1386
Palau,12498
Panama,17358
Papua New Guinea,3117
Paraguay,6153
Peru,7126
Philippines,3499
Poland,17265
Portugal,24813
Puerto Rico,34877
Qatar,87974
South Korea,32305
Moldova,4433
Romania,15295
Russia,15482
Rwanda,966
Saint Kitts and Nevis,20547
Saint Lucia,12038
Saint Vincent and the Grenadines,9107
Samoa,3855
San Marino,52903
Sao Tome and Principe,2405
Saudi Arabia,30436
Senegal,1604
Serbia,8802
Seychelles,18623
Sierra Leone,405
Singapore,78115
Sint Maarten (Dutch part),35607
Slovakia,20432
Slovenia,28295
Solomon Islands,2205
Somalia,592
South Africa,6766
South Sudan,423
Spain,29771
Sri Lanka,3490
State of Palestine,3640
Sudan,784
Suriname,5859
Sweden,56040
Switzerland,93636
Syria,840
Tajikistan,1054
Thailand,6909
Timor-Leste,2389
Togo,914
Tonga,4571
Trinidad and Tobago,19629
Tunisia,3738
Türkiye,10629
Turkmenistan,10420
Turks and Caicos Islands,24918
Tuvalu,5219
Uganda,1021
Ukraine,4043
United Arab Emirates,53708
United Kingdom,45758
Tanzania,1154
United States,76101
Uruguay,20793
Uzbekistan,2322
Vanuatu,3015
Venezuela,4569
Viet Nam,4164
Yemen,327
Zambia,1456
Zanzibar,1339
Zimbabwe,1619