Afghanistan,1,export,Pakistan
Afghanistan,1,import,China
Afghanistan,2,export,India
Afghanistan,2,import,United Arab Emirates
Afghanistan,3,export,China
Afghanistan,3,import,Pakistan
Albania,1,export,Italy
Albania,1,import,Italy
Albania,2,export,Serbia
Albania,2,import,Turkey
Albania,3,export,Montenegro
Albania,3,import,Greece
Algeria,1,export,Italy
Algeria,1,import,China
Algeria,2,export,France
Algeria,2,import,France
Algeria,3,export,Spain
Algeria,3,import,Italy
Andorra,1,export,Spain
Andorra,1,import,Spain
Andorra,2,export,
Andorra,2,import,France
Andorra,3,export,France
Andorra,3,import,Germany
Angola,1,export,China
Angola,1,import,China
Angola,2,export,India
Angola,2,import,Portugal
Angola,3,export,France
Angola,3,import,South Korea
Anguilla,1,export,Chile
Anguilla,1,import,Chile
Anguilla,2,export,Netherlands
Anguilla,2,import,United States
Anguilla,3,export,United States
Anguilla,3,import,Botswana
Antigua and Barbuda,1,export,United States
Antigua and Barbuda,1,import,United States
Antigua and Barbuda,2,export,Sint Maarten
Antigua and Barbuda,2,import,Japan
Antigua and Barbuda,3,export,China
Antigua and Barbuda,3,import,Trinidad and Tobago
Argentina,1,export,Brazil
Argentina,1,import,Brazil
Argentina,2,export,United States
Argentina,2,import,China
Argentina,3,export,China
Argentina,3,import,United States
Armenia,1,export,Russia
Armenia,1,import,Russia
Armenia,2,export,United Arab Emirates
Armenia,2,import,China
Armenia,3,export,
Armenia,3,import,Vietnam
Aruba,1,export,Colombia
Aruba,1,import,United States
Aruba,2,export,Areas nes
Aruba,2,import,Areas nes
Aruba,3,export,United States
Aruba,3,import,Netherlands
Australia,1,export,China
Australia,1,import,China
Australia,2,export,Areas nes
Australia,2,import,United States
Australia,3,export,Japan
Australia,3,import,Japan
Austria,1,export,Germany
Austria,1,import,Germany
Austria,2,export,Italy
Austria,2,import,China
Austria,3,export,United States
Austria,3,import,Italy
Azerbaijan,1,export,Italy
Azerbaijan,1,import,Russia
Azerbaijan,2,export,Turkey
Azerbaijan,2,import,China
Azerbaijan,3,export,Israel
Azerbaijan,3,import,Turkey
Bahamas,1,export,United States
Bahamas,1,import,United States
Bahamas,2,export,Areas nes
Bahamas,2,import,Areas nes
Bahamas,3,export,France
Bahamas,3,import,China
Bahrain,1,export,Areas nes
Bahrain,1,import,China
Bahrain,2,export,Saudi Arabia
Bahrain,2,import,Brazil
Bahrain,3,export,United States
Bahrain,3,import,Australia
Bangladesh,1,export,United States
Bangladesh,1,import,China
Bangladesh,2,export,Germany
Bangladesh,2,import,India
Bangladesh,3,export,United Kingdom
Bangladesh,3,import,Singapore
Barbados,1,export,Areas nes
Barbados,1,import,United States
Barbados,2,export,United States
Barbados,2,import,Trinidad and Tobago
Barbados,3,export,Jamaica
Barbados,3,import,Netherlands
Belarus,1,export,Areas nes
Belarus,1,import,Areas nes
Belarus,2,export,Russia
Belarus,2,import,Russia
Belarus,3,export,Poland
Belarus,3,import,China
Belgium,1,export,Germany
Belgium,1,import,Netherlands
Belgium,2,export,Netherlands
Belgium,2,import,Germany
Belgium,3,export,France
Belgium,3,import,France
Belize,1,export,United States
Belize,1,import,United States
Belize,2,export,United Kingdom
Belize,2,import,China
Belize,3,export,Guatemala
Belize,3,import,Mexico
Benin,1,export,Bangladesh
Benin,1,import,India
Benin,2,export,India
Benin,2,import,China
Benin,3,export,Pakistan
Benin,3,import,France
Bermuda,1,export,United States
Bermuda,1,import,United States
Bermuda,2,export,United Kingdom
Bermuda,2,import,Canada
Bermuda,3,export,Canada
Bermuda,3,import,United Kingdom
Bhutan,1,export,India
Bhutan,1,import,India
Bhutan,2,export,Italy
Bhutan,2,import,China
Bhutan,3,export,Nepal
Bhutan,3,import,Indonesia
Bolivia,1,export,Brazil
Bolivia,1,import,China
Bolivia,2,export,India
Bolivia,2,import,Brazil
Bolivia,3,export,China
Bolivia,3,import,Argentina
Bosnia and Herzegovina,1,export,Germany
Bosnia and Herzegovina,1,import,Italy
Bosnia and Herzegovina,2,export,Croatia
Bosnia and Herzegovina,2,import,Germany
Bosnia and Herzegovina,3,export,Serbia
Bosnia and Herzegovina,3,import,Serbia
Botswana,1,export,United Arab Emirates
Botswana,1,import,South Africa
Botswana,2,export,Belgium
Botswana,2,import,Namibia
Botswana,3,export,India
Botswana,3,import,Canada
Brazil,1,export,China
Brazil,1,import,China
Brazil,2,export,United States
Brazil,2,import,United States
Brazil,3,export,Argentina
Brazil,3,import,Germany
Brunei,1,export,Australia
Brunei,1,import,Malaysia
Brunei,2,export,Singapore
Brunei,2,import,United Arab Emirates
Brunei,3,export,China
Brunei,3,import,China
Bulgaria,1,export,Germany
Bulgaria,1,import,Germany
Bulgaria,2,export,Romania
Bulgaria,2,import,Turkey
Bulgaria,3,export,Italy
Bulgaria,3,import,Romania
Burkina Faso,1,export,Switzerland
Burkina Faso,1,import,Côte d’Ivoire
Burkina Faso,2,export,United Arab Emirates
Burkina Faso,2,import,China
Burkina Faso,3,export,Mali
Burkina Faso,3,import,Russia
Burundi,1,export,United Arab Emirates
Burundi,1,import,Saudi Arabia
Burundi,2,export,DR Congo
Burundi,2,import,China
Burundi,3,export,Switzerland
Burundi,3,import,United Arab Emirates
Cabo Verde,1,export,Spain
Cabo Verde,1,import,Portugal
Cabo Verde,2,export,Italy
Cabo Verde,2,import,Spain
Cabo Verde,3,export,Portugal
Cabo Verde,3,import,Togo
Cambodia,1,export,United States
Cambodia,1,import,China
Cambodia,2,export,China
Cambodia,2,import,Vietnam
Cambodia,3,export,Japan
Cambodia,3,import,Thailand
Cameroon,1,export,China
Cameroon,1,import,China
Cameroon,2,export,Netherlands
Cameroon,2,import,France
Cameroon,3,export,India
Cameroon,3,import,India
Canada,1,export,United States
Canada,1,import,United States
Canada,2,export,China
Canada,2,import,China
Canada,3,export,Japan
Canada,3,import,Mexico
Central African Republic,1,export,United Arab Emirates
Central African Republic,1,import,Cameroon
Central African Republic,2,export,Pakistan
Central African Republic,2,import,United States
Central African Republic,3,export,Italy
Central African Republic,3,import,France
Chad,1,export,United Arab Emirates
Chad,1,import,China
Chad,2,export,China
Chad,2,import,United Arab Emirates
Chad,3,export,Germany
Chad,3,import,Cameroon
Chile,1,export,China
Chile,1,import,China
Chile,2,export,United States
Chile,2,import,United States
Chile,3,export,Japan
Chile,3,import,Brazil
China,1,export,United States
China,1,import,
China,2,export,
China,2,import,United States
China,3,export,Japan
China,3,import,South Korea
Colombia,1,export,United States
Colombia,1,import,United States
Colombia,2,export,Panama
Colombia,2,import,China
Colombia,3,export,Netherlands
Colombia,3,import,Brazil
Comoros,1,export,India
Comoros,1,import,United Arab Emirates
Comoros,2,export,Tanzania
Comoros,2,import,France
Comoros,3,export,France
Comoros,3,import,Pakistan
Congo,1,export,China
Congo,1,import,China
Congo,2,export,Côte d’Ivoire
Congo,2,import,France
Congo,3,export,Togo
Congo,3,import,Belgium
Costa Rica,1,export,United States
Costa Rica,1,import,United States
Costa Rica,2,export,Netherlands
Costa Rica,2,import,China
Costa Rica,3,export,Guatemala
Costa Rica,3,import,Mexico
Côte d’Ivoire,1,export,Mali
Côte d’Ivoire,1,import,China
Côte d’Ivoire,2,export,Netherlands
Côte d’Ivoire,2,import,Nigeria
Côte d’Ivoire,3,export,Switzerland
Côte d’Ivoire,3,import,France
Croatia,1,export,Italy
Croatia,1,import,Italy
Croatia,2,export,Germany
Croatia,2,import,Germany
Croatia,3,export,Slovenia
Croatia,3,import,Slovenia
Cuba,1,export,Canada
Cuba,1,import,Spain
Cuba,2,export,China
Cuba,2,import,China
Cuba,3,export,Spain
Cuba,3,import,United States
Cyprus,1,export,Libya
Cyprus,1,import,Greece
Cyprus,2,export,Lebanon
Cyprus,2,import,United Kingdom
Cyprus,3,export,Bunkers
Cyprus,3,import,Italy
Czechia,1,export,Germany
Czechia,1,import,Germany
Czechia,2,export,Slovakia
Czechia,2,import,China
Czechia,3,export,Poland
Czechia,3,import,Poland
North Korea,1,export,China
North Korea,1,import,China
North Korea,2,export,Papua New Guinea
North Korea,2,import,Papua New Guinea
North Korea,3,export,Senegal
North Korea,3,import,Togo
DR Congo,1,export,China
DR Congo,1,import,China
DR Congo,2,export,Singapore
DR Congo,2,import,South Africa
DR Congo,3,export,
DR Congo,3,import,United Arab Emirates
Denmark,1,export,Undisclosed
Denmark,1,import,Germany
Denmark,2,export,Germany
Denmark,2,import,Sweden
Denmark,3,export,Sweden
Denmark,3,import,Norway
Djibouti,1,export,China
Djibouti,1,import,China
Djibouti,2,export,United States
Djibouti,2,import,Saudi Arabia
Djibouti,3,export,India
Djibouti,3,import,United Arab Emirates
Dominica,1,export,Trinidad and Tobago
Dominica,1,import,United States
Dominica,2,export,Antigua and Barbuda
Dominica,2,import,Trinidad and Tobago
Dominica,3,export,France
Dominica,3,import,China
Dominican Republic,1,export,United States
Dominican Republic,1,import,United States
Dominican Republic,2,export,Switzerland
Dominican Republic,2,import,China
Dominican Republic,3,export,Haiti
Dominican Republic,3,import,Brazil
Ecuador,1,export,United States
Ecuador,1,import,United States
Ecuador,2,export,China
Ecuador,2,import,China
Ecuador,3,export,Panama
Ecuador,3,import,Colombia
Egypt,1,export,Turkey
Egypt,1,import,China
Egypt,2,export,Italy
Egypt,2,import,United States
Egypt,3,export,Saudi Arabia
Egypt,3,import,Saudi Arabia
El Salvador,1,export,United States
El Salvador,1,import,United States
El Salvador,2,export,Guatemala
El Salvador,2,import,China
El Salvador,3,export,Honduras
El Salvador,3,import,Guatemala
Equatorial Guinea,1,export,China
Equatorial Guinea,1,import,China
Equatorial Guinea,2,export,India
Equatorial Guinea,2,import,Spain
Equatorial Guinea,3,export,Netherlands
Equatorial Guinea,3,import,Gabon
Eritrea,1,export,China
Eritrea,1,import,China
Eritrea,2,export,United Arab Emirates
Eritrea,2,import,United Arab Emirates
Eritrea,3,export,South Korea
Eritrea,3,import,Turkey
Estonia,1,export,Finland
Estonia,1,import,Germany
Estonia,2,export,Latvia
Estonia,2,import,China
Estonia,3,export,Sweden
Estonia,3,import,Finland
Eswatini,1,export,South Africa
Eswatini,1,import,South Africa
Eswatini,2,export,Kenya
Eswatini,2,import,China
Eswatini,3,export,Nigeria
Eswatini,3,import,India
Falkland Islands (Malvinas),1,export,Spain
Falkland Islands (Malvinas),1,import,United Kingdom
Falkland Islands (Malvinas),2,export,Morocco
Falkland Islands (Malvinas),2,import,Greece
Falkland Islands (Malvinas),3,export,United States
Falkland Islands (Malvinas),3,import,Spain
Faroe Islands,1,export,Denmark
Faroe Islands,1,import,Denmark
Faroe Islands,2,export,United Kingdom
Faroe Islands,2,import,Netherlands
Faroe Islands,3,export,United States
Faroe Islands,3,import,Norway
Fiji,1,export,United States
Fiji,1,import,Singapore
Fiji,2,export,Australia
Fiji,2,import,China
Fiji,3,export,Bunkers
Fiji,3,import,Australia
Finland,1,export,United States
Finland,1,import,Germany
Finland,2,export,Sweden
Finland,2,import,Sweden
Finland,3,export,Germany
Finland,3,import,China
France,1,export,Germany
France,1,import,Germany
France,2,export,Italy
France,2,import,Belgium
France,3,export,Belgium
France,3,import,Netherlands
French Polynesia,1,export,France
French Polynesia,1,import,France
French Polynesia,2,export,
French Polynesia,2,import,China
French Polynesia,3,export,United States
French Polynesia,3,import,South Korea
Gabon,1,export,China
Gabon,1,import,France
Gabon,2,export,India
Gabon,2,import,Singapore
Gabon,3,export,Cameroon
Gabon,3,import,China
Gambia,1,export,Mali
Gambia,1,import,Togo
Gambia,2,export,China
Gambia,2,import,Côte d’Ivoire
Gambia,3,export,Senegal
Gambia,3,import,China
Georgia,1,export,Azerbaijan
Georgia,1,import,Turkey
Georgia,2,export,Armenia
Georgia,2,import,United States
Georgia,3,export,Kazakhstan
Georgia,3,import,Russia
Germany,1,export,United States
Germany,1,import,China
Germany,2,export,France
Germany,2,import,Netherlands
Germany,3,export,Netherlands
Germany,3,import,United States
Ghana,1,export,Switzerland
Ghana,1,import,China
Ghana,2,export,South Africa
Ghana,2,import,Netherlands
Ghana,3,export,United Arab Emirates
Ghana,3,import,India
Gibraltar,1,export,Netherlands
Gibraltar,1,import,Italy
Gibraltar,2,export,France
Gibraltar,2,import,Greece
Gibraltar,3,export,India
Gibraltar,3,import,Spain
Greece,1,export,Italy
Greece,1,import,Germany
Greece,2,export,Bulgaria
Greece,2,import,China
Greece,3,export,Germany
Greece,3,import,Italy
Greenland,1,export,Denmark
Greenland,1,import,Denmark
Greenland,2,export,China
Greenland,2,import,Sweden
Greenland,3,export,United Kingdom
Greenland,3,import,Spain
Grenada,1,export,Areas nes
Grenada,1,import,United States
Grenada,2,export,United States
Grenada,2,import,Trinidad and Tobago
Grenada,3,export,Saint Vincent and the Grenadines
Grenada,3,import,Îles Caïmanes
Guatemala,1,export,United States
Guatemala,1,import,United States
Guatemala,2,export,El Salvador
Guatemala,2,import,China
Guatemala,3,export,Honduras
Guatemala,3,import,Mexico
Guinea,1,export,China
Guinea,1,import,China
Guinea,2,export,United Arab Emirates
Guinea,2,import,India
Guinea,3,export,India
Guinea,3,import,Netherlands
Guinea-Bissau,1,export,India
Guinea-Bissau,1,import,Portugal
Guinea-Bissau,2,export,Chile
Guinea-Bissau,2,import,Senegal
Guinea-Bissau,3,export,Côte d’Ivoire
Guinea-Bissau,3,import,China
Guyana,1,export,Trinidad and Tobago
Guyana,1,import,United States
Guyana,2,export,United States
Guyana,2,import,China
Guyana,3,export,Singapore
Guyana,3,import,Trinidad and Tobago
Haiti,1,export,United States
Haiti,1,import,United States
Haiti,2,export,Canada
Haiti,2,import,Dominican Republic
Haiti,3,export,Mexico
Haiti,3,import,China
Honduras,1,export,United States
Honduras,1,import,United States
Honduras,2,export,Germany
Honduras,2,import,China
Honduras,3,export,El Salvador
Honduras,3,import,Mexico
Hungary,1,export,Germany
Hungary,1,import,Germany
Hungary,2,export,Italy
Hungary,2,import,China
Hungary,3,export,Romania
Hungary,3,import,Austria
Iceland,1,export,Netherlands
Iceland,1,import,Norway
Iceland,2,export,United States
Iceland,2,import,Germany
Iceland,3,export,United Kingdom
Iceland,3,import,China
India,1,export,United States
India,1,import,China
India,2,export,United Arab Emirates
India,2,import,United Arab Emirates
India,3,export,Netherlands
India,3,import,United States
Indonesia,1,export,China
Indonesia,1,import,China
Indonesia,2,export,United States
Indonesia,2,import,Singapore
Indonesia,3,export,Japan
Indonesia,3,import,Japan
Iran,1,export,China
Iran,1,import,United Arab Emirates
Iran,2,export,
Iran,2,import,China
Iran,3,export,Iraq
Iran,3,import,Turkey
Iraq,1,export,India
Iraq,1,import,United Arab Emirates
Iraq,2,export,China
Iraq,2,import,China
Iraq,3,export,United States
Iraq,3,import,Turkey
Ireland,1,export,United States
Ireland,1,import,United Kingdom
Ireland,2,export,United Kingdom
Ireland,2,import,United States
Ireland,3,export,Germany
Ireland,3,import,France
Israel,1,export,United States
Israel,1,import,China
Israel,2,export,Areas nes
Israel,2,import,Areas nes
Israel,3,export,China
Israel,3,import,United States
Italy,1,export,Germany
Italy,1,import,Germany
Italy,2,export,United States
Italy,2,import,China
Italy,3,export,France
Italy,3,import,France
Jamaica,1,export,United States
Jamaica,1,import,United States
Jamaica,2,export,Russia
Jamaica,2,import,China
Jamaica,3,export,United Kingdom
Jamaica,3,import,Brazil
Japan,1,export,United States
Japan,1,import,China
Japan,2,export,China
Japan,2,import,United States
Japan,3,export,South Korea
Japan,3,import,Australia
Jordan,1,export,United States
Jordan,1,import,China
Jordan,2,export,India
Jordan,2,import,Saudi Arabia
Jordan,3,export,Saudi Arabia
Jordan,3,import,United Arab Emirates
Kazakhstan,1,export,Italy
Kazakhstan,1,import,China
Kazakhstan,2,export,China
Kazakhstan,2,import,Russia
Kazakhstan,3,export,Russia
Kazakhstan,3,import,Gambia
Kenya,1,export,Uganda
Kenya,1,import,China
Kenya,2,export,United States
Kenya,2,import,United Arab Emirates
Kenya,3,export,Netherlands
Kenya,3,import,India
Kiribati,1,export,New Caledonia
Kiribati,1,import,Fiji
Kiribati,2,export,Malaysia
Kiribati,2,import,China
Kiribati,3,export,Japan
Kiribati,3,import,Australia
Kuwait,1,export,Areas nes
Kuwait,1,import,China
Kuwait,2,export,United Arab Emirates
Kuwait,2,import,United Arab Emirates
Kuwait,3,export,India
Kuwait,3,import,United States
Kyrgyzstan,1,export,Russia
Kyrgyzstan,1,import,China
Kyrgyzstan,2,export,Kazakhstan
Kyrgyzstan,2,import,Russia
Kyrgyzstan,3,export,Uzbekistan
Kyrgyzstan,3,import,Kazakhstan
Laos,1,export,Thailand
